dt,kind,value
2000-01-01,A,1.44252100014
2000-01-02,A,1.98128954564
2000-01-03,A,1.58649361295
2000-01-04,A,1.37896890897
2000-01-05,A,-0.2779369373
2000-01-06,A,-1.31733859467
2000-01-07,A,-0.864477492826
2000-01-08,A,-0.30338923667
2000-01-09,A,0.0216723790868
2000-01-10,A,-0.239886816171
2000-01-11,A,-0.144826217045
2000-01-12,A,0.802032313774
2000-01-13,A,1.2733918971
2000-01-14,A,0.938813191183
2000-01-15,A,1.83522553976
2000-01-16,A,1.17905290664
2000-01-17,A,1.79781421256
2000-01-18,A,2.25961871328
2000-01-19,A,1.7167892738
2000-01-20,A,2.02221533058
2000-01-21,A,0.836930372862
2000-01-22,A,-1.17314583554
2000-01-23,A,-0.0735163807698
2000-01-24,A,-1.42018546093
2000-01-25,A,-2.18848780731
2000-01-26,A,-3.06982637452
2000-01-27,A,-2.05258040173
2000-01-28,A,-1.04727952034
2000-01-29,A,0.747300553887
2000-01-30,A,0.794446672013
2000-01-31,A,1.9539118672
2000-02-01,A,2.46747768427
2000-02-02,A,3.32348610357
2000-02-03,A,3.50378582596
2000-02-04,A,1.7825888876
2000-02-05,A,3.7253781474
2000-02-06,A,4.77655537058
2000-02-07,A,4.66611100176
2000-02-08,A,3.76694760059
2000-02-09,A,4.11576997866
2000-02-10,A,3.21706511408
2000-02-11,A,3.80519456034
2000-02-12,A,4.38396188977
2000-02-13,A,5.14064742778
2000-02-14,A,5.93945923399
2000-02-15,A,6.82743028665
2000-02-16,A,6.32393560839
2000-02-17,A,6.77784664907
2000-02-18,A,5.89008729248
2000-02-19,A,6.05617398315
2000-02-20,A,6.17591868261
2000-02-21,A,6.83890721142
2000-02-22,A,6.73227308368
2000-02-23,A,8.41200634519
2000-02-24,A,8.07963010461
2000-02-25,A,7.56294062467
2000-02-26,A,8.31828719393
2000-02-27,A,7.54364551797
2000-02-28,A,8.18381232244
2000-02-29,A,8.11660844137
2000-03-01,A,8.12309693877
2000-03-02,A,8.39113202386
2000-03-03,A,7.7922839658
2000-03-04,A,9.04989883311
2000-03-05,A,8.35301729834
2000-03-06,A,9.09575479435
2000-03-07,A,8.23530197875
2000-03-08,A,7.05238464314
2000-03-09,A,6.83166580925
2000-03-10,A,6.43324754648
2000-03-11,A,7.26485436588
2000-03-12,A,5.90614921742
2000-03-13,A,6.44916697878
2000-03-14,A,5.03935361311
2000-03-15,A,3.35675636716
2000-03-16,A,2.66791156973
2000-03-17,A,3.37486227741
2000-03-18,A,2.99381130639
2000-03-19,A,3.16560753756
2000-03-20,A,2.10859537992
2000-03-21,A,1.77248353751
2000-03-22,A,2.79485874142
2000-03-23,A,3.84614299726
2000-03-24,A,2.84413665829
2000-03-25,A,1.89527408239
2000-03-26,A,1.75268602702
2000-03-27,A,-0.0948232581168
2000-03-28,A,0.338630731492
2000-03-29,A,0.759590707282
2000-03-30,A,0.0765731717437
2000-03-31,A,0.595788589731
2000-04-01,A,0.452050444481
2000-04-02,A,0.0156601054982
2000-04-03,A,0.330008599432
2000-04-04,A,0.158823448164
2000-04-05,A,0.151443480424
2000-04-06,A,-0.327662808843
2000-04-07,A,-0.0833362309301
2000-04-08,A,0.990319053293
2000-04-09,A,1.5768027265
2000-04-10,A,0.780001381672
2000-04-11,A,-0.960923881039
2000-04-12,A,0.0955055763159
2000-04-13,A,0.696908467317
2000-04-14,A,-0.367066870182
2000-04-15,A,-1.02570235391
2000-04-16,A,-1.96199930667
2000-04-17,A,-2.35480610776
2000-04-18,A,-1.54190034953
2000-04-19,A,-2.13850197817
2000-04-20,A,-2.22950384477
