RunAccession	Lane	Sample	BiolRep
ERR458493	1	WT	1
ERR458494	2	WT	1
ERR458495	3	WT	1
ERR458496	4	WT	1
ERR458497	5	WT	1
ERR458498	6	WT	1
ERR458499	7	WT	1
ERR458500	1	SNF2	1
ERR458501	2	SNF2	1
ERR458502	3	SNF2	1
ERR458503	4	SNF2	1
ERR458504	5	SNF2	1
ERR458505	6	SNF2	1
ERR458506	7	SNF2	1
ERR458507	1	SNF2	2
ERR458508	2	SNF2	2
ERR458509	3	SNF2	2
ERR458510	4	SNF2	2
ERR458511	5	SNF2	2
ERR458512	6	SNF2	2
ERR458513	7	SNF2	2
ERR458514	1	SNF2	3
ERR458515	2	SNF2	3
ERR458516	3	SNF2	3
ERR458517	4	SNF2	3
ERR458518	5	SNF2	3
ERR458519	6	SNF2	3
ERR458520	7	SNF2	3
ERR458521	1	SNF2	4
ERR458522	2	SNF2	4
ERR458523	3	SNF2	4
ERR458524	4	SNF2	4
ERR458525	5	SNF2	4
ERR458526	6	SNF2	4
ERR458527	7	SNF2	4
ERR458528	1	SNF2	5
ERR458529	2	SNF2	5
ERR458530	3	SNF2	5
ERR458531	4	SNF2	5
ERR458532	5	SNF2	5
ERR458533	6	SNF2	5
ERR458534	7	SNF2	5
ERR458535	1	SNF2	6
ERR458536	2	SNF2	6
ERR458537	3	SNF2	6
ERR458538	4	SNF2	6
ERR458539	5	SNF2	6
ERR458540	6	SNF2	6
ERR458541	7	SNF2	6
ERR458542	1	SNF2	7
ERR458543	2	SNF2	7
ERR458544	3	SNF2	7
ERR458545	4	SNF2	7
ERR458546	5	SNF2	7
ERR458547	6	SNF2	7
ERR458548	7	SNF2	7
ERR458549	1	SNF2	8
ERR458550	2	SNF2	8
ERR458551	3	SNF2	8
ERR458552	4	SNF2	8
ERR458553	5	SNF2	8
ERR458554	6	SNF2	8
ERR458555	7	SNF2	8
ERR458556	1	SNF2	9
ERR458557	2	SNF2	9
ERR458558	3	SNF2	9
ERR458559	4	SNF2	9
ERR458560	5	SNF2	9
ERR458561	6	SNF2	9
ERR458562	7	SNF2	9
ERR458563	1	SNF2	10
ERR458564	2	SNF2	10
ERR458565	3	SNF2	10
ERR458566	4	SNF2	10
ERR458567	5	SNF2	10
ERR458568	6	SNF2	10
ERR458569	7	SNF2	10
ERR458570	1	SNF2	11
ERR458571	2	SNF2	11
ERR458572	3	SNF2	11
ERR458573	4	SNF2	11
ERR458574	5	SNF2	11
ERR458575	6	SNF2	11
ERR458576	7	SNF2	11
ERR458577	1	SNF2	12
ERR458578	2	SNF2	12
ERR458579	3	SNF2	12
ERR458580	4	SNF2	12
ERR458581	5	SNF2	12
ERR458582	6	SNF2	12
ERR458583	7	SNF2	12
ERR458584	1	SNF2	13
ERR458585	2	SNF2	13
ERR458586	3	SNF2	13
ERR458587	4	SNF2	13
ERR458588	5	SNF2	13
ERR458589	6	SNF2	13
ERR458590	7	SNF2	13
ERR458591	1	SNF2	14
ERR458592	2	SNF2	14
ERR458593	3	SNF2	14
ERR458594	4	SNF2	14
ERR458595	5	SNF2	14
ERR458596	6	SNF2	14
ERR458597	7	SNF2	14
ERR458598	1	SNF2	15
ERR458599	2	SNF2	15
ERR458600	3	SNF2	15
ERR458601	4	SNF2	15
ERR458602	5	SNF2	15
ERR458603	6	SNF2	15
ERR458604	7	SNF2	15
ERR458605	1	SNF2	16
ERR458606	2	SNF2	16
ERR458607	3	SNF2	16
ERR458608	4	SNF2	16
ERR458609	5	SNF2	16
ERR458610	6	SNF2	16
ERR458611	7	SNF2	16
ERR458612	1	SNF2	17
ERR458613	2	SNF2	17
ERR458614	3	SNF2	17
ERR458615	4	SNF2	17
ERR458616	5	SNF2	17
ERR458617	6	SNF2	17
ERR458618	7	SNF2	17
ERR458619	1	SNF2	18
ERR458620	2	SNF2	18
ERR458621	3	SNF2	18
ERR458622	4	SNF2	18
ERR458623	5	SNF2	18
ERR458624	6	SNF2	18
ERR458625	7	SNF2	18
ERR458626	1	SNF2	19
ERR458627	2	SNF2	19
ERR458628	3	SNF2	19
ERR458629	4	SNF2	19
ERR458630	5	SNF2	19
ERR458631	6	SNF2	19
ERR458632	7	SNF2	19
ERR458633	1	SNF2	20
ERR458634	2	SNF2	20
ERR458635	3	SNF2	20
