company_id,name_latest,names_previous
1000045,Nicholas Financial Inc,
1000180,Sandisk Corp,
1000209,Medallion Financial Corp,
1000228,Henry Schein Inc,
1000229,Core Laboratories N V,
1000230,Optical Cable Corp,
1000232,Kentucky Bancshares Inc /KY/,
1000278,Pacifichealth Laboratories Inc,
1000298,Impac Mortgage Holdings Inc,
1000459,Green Energy Group Inc.,
1000623,Schweitzer Mauduit International Inc,
1000683,Blonder Tongue Laboratories Inc,
1000694,Novavax Inc,
1000697,Waters Corp /DE/,
1000753,"Insperity, Inc.",
1000955,"Southcorp Capital, Inc.",
1001039,Walt Disney CO/,
1001082,Dish Network Corp,
1001115,Geospace Technologies Corp,OYO Geospace Corp
1001171,Broadway Financial Corp \DE\,
100122,Tucson Electric Power CO,
1001233,Sangamo Biosciences Inc,
1001250,Estee Lauder Companies Inc,
1001258,Asta Funding Inc,
1001279,Internet America Inc,
1001288,Lexmark International Inc /KY/,
1001316,"TG Therapeutics, Inc.",Manhattan Pharmaceuticals Inc
1001385,Northwest Pipe CO,
1001426,Pericom Semiconductor Corp,
1001463,"Acacia Diversified Holdings, Inc.",
1001601,MGT Capital Investments Inc,
1001604,Emeritus Corp\Wa\,
1001606,Blount International Inc,
1001614,Tengasco Inc,
1001838,Southern Copper Corp/,
1001871,Investors Capital Holdings LTD,
1001902,Intevac Inc,
1001907,Astrotech Corp,Astrotech Corp \WA\
1002037,"Learning Tree International, Inc.",Learning Tree International Inc
1002047,"Netapp, Inc.",
1002135,Westell Technologies Inc,
1002225,Advent Software Inc /DE/,
1002360,"Absolute Potential, Inc.",
1002388,"Accelrys, Inc.",
1002390,"America'S Suppliers, Inc.",
1002422,"Ceres Ventures, Inc.",Phytomedical Technologies Inc
1002517,"Nuance Communications, Inc.",
1002519,Cronos Global Income Fund XVI LP,
1002531,Tollgrade Communications Inc \PA\,
1002590,Star GAS Partners LP,
1002638,Open Text Corp,
1002761,Americredit Financial Services Inc,
1002811,Kensey Nash Corp,
1002822,First American Scientific Corp.,First American Scientific Corp \NV\
1002910,Ameren Corp,
1003022,Zoran Corp \DE\,
1003078,MSC Industrial Direct CO Inc,
1003124,Pharmaceutical Product Development Inc,
1003130,LCA Vision Inc,
1003201,"MMA Capital Management, LLC",Municipal Mortgage & Equity LLC
1003214,Silicon Image Inc,
1003226,"First Physicians Capital Group, Inc.",
1003344,Headwaters Inc,
1003410,Duke Realty Limited Partnership/,
1003509,American Express Credit Account Master Trust,
1003642,Impax Laboratories Inc,
100378,Twin Disc Inc,
1003815,Bctc IV Assignor Corp,
1003950,Performance Technologies Inc \DE\,
1003961,Patapsco Bancorp Inc,
1003986,Taylor Calvin B Bankshares Inc,
1004036,Tanger Properties LTD Partnership /NC/,
100412,250 West 57th ST Associates L.L.C.,
1004125,KSW Inc,
1004155,Southern CO GAS,AGL Resources Inc
1004158,GS Mortgage Securities Corp II,
1004411,Gilla Inc.,
1004434,"Affiliated Managers Group, Inc.",Affiliated Managers Group Inc
1004440,Constellation Energy Group Inc,
1004608,Pinnacle Data Systems Inc,
1004673,Entertainment Gaming Asia Inc.,
1004702,Oceanfirst Financial Corp,
1004724,"Adcare Health Systems, Inc",Adcare Health Systems Inc
10048,Barnwell Industries Inc,
100493,Tyson Foods Inc,
1004980,Pg&E Corp,
1004988,Chase Credit Card Master Trust,
1004989,Spar Group Inc,
1005010,Arthrocare Corp,
1005101,Concierge Technologies Inc,
100517,"United Continental Holdings, Inc.",
1005177,ML Trend-Following Futures Fund L.P.,
1005188,North Central Bancshares Inc,
1005201,Depomed Inc,
1005210,Suburban Propane Partners LP,
1005214,American Wagering Inc,
1005229,Columbus Mckinnon Corp,
1005276,Mohegan Tribal Gaming Authority,
1005284,Universal Display Corp \PA\,
1005286,Landec Corp \CA\,
1005409,Dime Community Bancshares Inc,
1005414,Toys R US Inc,
100548,UGI Utilities Inc,
1005663,"Euro Group OF Companies, Inc.",
1005699,Magicjack Vocaltec LTD,
1005731,IDT Corp,
1005757,CSG Systems International Inc,
1005758,"Radioio, Inc.","IO World Media, Inc"
1005817,Tompkins Financial Corp,
100591,Argan Inc,
1006028,"Pure Bioscience, Inc.",Pure Bioscience
1006045,Iridex Corp,
1006177,FFD Financial Corp/Oh,
100625,Sierra Monitor Corp /CA/,
1006269,Loral Space & Communications Inc.,
1006281,"Protalix Biotherapeutics, Inc.",
1006424,"Bear State Financial, Inc.",First Federal Bancshares OF Arkansas Inc
1006459,Timios National Corp,Homeland Security Capital Corp
1006655,Evolution Petroleum Corp,
1006820,Northern California Bancorp Inc,
1006830,Consumers Bancorp Inc /OH/,
1006837,"HC2 Holdings, Inc.","Primus Telecommunications Group IncPtgi Holding, Inc."
1006840,"Zhongchai Machinery, Inc.",
1006892,JDA Software Group Inc,
1007019,Coffee Holding CO Inc,
100716,Unico American Corp,
100726,Unifi Inc,
1007273,Bank OF South Carolina Corp,
1007330,"Prgx Global, Inc.",
1007587,KVH Industries Inc \DE\,
100790,Union Carbide Corp /NEW/,
100826,Union Electric CO,
1008579,Highlands Bankshares Inc /VA/,
1008586,Streamline Health Solutions Inc.,
1008654,Tupperware Brands Corp,
1008817,Sapient Corp,
1008848,Acorda Therapeutics Inc,
100885,Union Pacific Corp,
1009356,Salix Pharmaceuticals LTD,
1009379,Metropolitan Health Networks Inc,
1009626,Brocade Communications Systems Inc,
1009672,Carbo Ceramics Inc,
1009759,Capstone Turbine Corp,
1009829,Jakks Pacific Inc,
1009891,AIR Industries Group,"AIR Industries Group, Inc."
1009925,"American Fiber Green Products, Inc.",
1009976,Commercial Bancshares Inc \OH\,
101001,"United AIR Lines, Inc.",United AIR Lines Inc
1010086,Siga Technologies Inc,
1010247,Fpic Insurance Group Inc,
1010286,Fibertower Corp,
1010470,Provident Financial Holdings Inc,
1010552,Polycom Inc,
1010566,China Longyi Group International Holdings LTD,
1010612,Sykes Enterprises Inc,
101063,Chiquita Brands International Inc,
1010858,Fairmount Santrol Holdings Inc.,Fmsa Holdings Inc
1011006,Yahoo Inc,
1011060,Advansource Biomaterials Corp,
1011064,Sunrise Senior Living Inc,
1011109,Acre Realty Investors Inc,Roberts Realty Investors Inc
1011174,BRE Properties Inc /MD/,
1011290,99 Cents Only Stores LLC,99 Cents Only Stores
1011308,Footstar Inc,
1011395,Geospatial Corp,
1011432,Auxilio Inc,
1011452,"Medical Information Technology, Inc.",Medical Information Technology Inc
1011509,Golden Minerals CO,
1011570,Knoll Inc,
1011657,Titanium Metals Corp,
1011659,Mufg Americas Holdings Corp,Unionbancal Corp
1011661,Ss&C Technologies Inc,
1011662,Global Digital Solutions Inc,
1011733,Trimol Group Inc.,Trimol Group Inc
1011835,"Medivation, Inc.",
101199,United Fire Group Inc,United Fire & Casualty CO
1012019,Rush Enterprises Inc \TX\,
1012100,Sealed AIR Corp/De,
1012140,Onyx Pharmaceuticals Inc,
1012271,Post Apartment Homes LP,
1012477,Flamel Technologies SA,
1012493,Ferrellgas Partners Finance Corp,
1012569,"Energy Transfer Partners, L.P.",
1012620,Genesee & Wyoming Inc,
1012704,Drivetime Automotive Group Inc,
1012771,FBL Financial Group Inc,
101295,United Guardian Inc,
1013237,Factset Research Systems Inc,
1013238,Aradigm Corp,
1013272,Norwood Financial Corp,
1013453,"Valcom, Inc",
1013462,Ansys Inc,
1013488,BJS Restaurants Inc,
1013554,Park Bancorp Inc,
1013606,Endologix Inc /DE/,
1013706,"Wilhelmina International, Inc.",
1013796,TIB Financial Corp.,
101382,UMB Financial Corp,
1013844,Colonial Realty Limited Partnership,
1013857,Pegasystems Inc,
1013871,"NRG Energy, Inc.",
1013880,Teletech Holdings Inc,
101390,United Mortgage Trust,
1013934,Strayer Education Inc,
1014041,SRI Surgical Express Inc,
1014052,"Digerati Technologies, Inc.",Atsi Communications Inc/De
1014111,Imation Corp,
1014473,Verisign Inc/Ca,
1014507,"Sirona Dental Systems, Inc.",
101462,United Refining CO,
1014653,Profile Technologies Inc,
1014669,Sterling Chemicals Inc,
1014672,Caliper Life Sciences Inc,
1014739,"Bioscrip, Inc.",
1014763,Amarillo Biosciences Inc,
1015155,Charles & Colvard LTD,
1015328,Wintrust Financial Corp,
101538,United States Antimony Corp,
1015383,Retrospettiva Inc,
1015593,River Valley Bancorp,
1015739,Aware Inc /MA/,
1015780,E Trade Financial Corp,
1015789,"Proelite, Inc.",
101594,US Energy Corp,
1016125,Ultimate Software Group Inc,
1016169,"Antares Pharma, Inc.",
1016178,Carver Bancorp Inc,
1016281,Carriage Services Inc,
1016470,SRS Labs Inc,
1016504,Integrated Biopharma Inc,
1016546,Altair Nanotechnologies Inc,
1016708,"Renovacare, Inc.","Janus Resources, Inc."
1016900,"Applied Natural GAS Fuels, Inc.",
1016951,"Tumbleweed Holdings, Inc.",Digital Creative Development Corp
1017110,Genethera Inc,
1017290,Silver Dragon Resources Inc.,
1017303,Transact Technologies Inc,
1017480,Hibbett Sports Inc,
1017491,"Apricus Biosciences, Inc.",
1017616,"Tonner-One World Holdings, Inc.","ONE World Holdings, Inc."
1017655,Paid Inc,
1017673,Dover Motorsports Inc,
1017699,"China Kangtai Cactus Bio-Tech, Inc.",
1017712,HOT Topic Inc /CA/,
101778,Marathon OIL Corp,
1017793,SUN Bancorp Inc /NJ/,
1017907,First Acceptance Corp /DE/,
1017968,Edgewater Technology Inc/De/,
